Hours_Studied,Sleep_Hours,Attendance_Percentage,Previous_Score,Exam_Score
9.16,4.34,75.95,41.66,66.19
4.33,4.13,83.88,92.88,85.56
8.72,4.68,65.59,76.73,84.7
2.32,8.82,88.7,91.33,81.68
7.22,6.75,88.65,54.6,83.0
7.99,8.83,76.06,73.63,86.58
0.78,6.16,98.8,77.32,76.67
5.05,5.56,56.28,57.47,62.66
2.02,6.53,50.85,86.65,67.52
0.95,6.2,88.51,92.09,82.38
14.85,4.53,90.36,88.67,112.93
4.84,7.2,56.01,80.65,76.01
12.15,5.08,63.28,55.26,79.44
3.82,7.1,50.88,55.49,62.68
10.22,7.25,64.67,92.98,108.41
11.4,4.76,88.66,40.57,81.79
8.93,4.31,75.9,79.38,94.94
7.07,7.9,67.4,78.84,79.84
6.18,6.3,68.59,74.25,81.5
5.23,4.29,50.07,94.46,74.99
13.94,8.97,64.99,57.15,86.3
12.46,4.29,82.32,58.7,86.65
14.48,7.48,98.71,44.34,102.92
1.86,8.92,92.35,64.35,79.98
10.96,5.2,51.18,54.36,77.39
14.08,4.71,94.93,58.89,91.11
2.72,4.61,89.16,85.9,81.05
1.0,5.52,89.02,91.45,83.06
11.12,4.51,72.9,50.22,81.07
8.62,7.46,69.9,60.49,72.5
12.63,4.31,65.15,91.07,97.38
2.1,6.55,53.28,43.4,50.47
11.93,8.98,61.41,45.08,84.25
3.02,8.07,62.33,48.95,49.43
2.45,7.08,74.2,72.74,72.44
2.46,5.53,87.37,48.28,63.85
12.22,7.12,73.69,93.24,112.07
9.98,6.64,52.89,64.57,84.53
7.85,6.13,97.89,67.58,93.05
5.38,4.65,97.14,53.57,70.96
13.16,8.43,89.26,65.9,93.2
5.89,6.25,99.57,76.41,88.34
12.25,4.97,77.22,81.31,105.42
6.59,5.84,98.14,81.46,100.62
5.65,6.07,53.78,71.78,76.99
6.94,8.14,68.28,89.74,94.62
4.52,7.67,61.27,84.96,83.26
11.21,7.85,59.79,81.64,93.42
7.54,4.06,57.04,43.06,61.71
3.48,6.08,81.12,40.38,68.87
13.49,6.41,89.07,51.68,89.27
5.76,4.1,78.91,76.49,89.31
8.15,5.3,57.35,62.62,73.64
13.6,7.8,90.56,62.13,108.22
9.36,4.69,81.8,88.65,90.86
1.75,6.68,69.41,89.26,80.77
14.1,5.08,83.71,90.0,107.78
9.42,4.06,63.0,57.26,68.88
5.02,5.21,67.26,78.01,79.08
2.09,8.88,95.87,54.94,77.16
11.91,8.01,64.53,50.48,79.76
9.3,8.8,73.5,50.15,73.44
8.0,6.44,94.51,58.82,85.03
13.41,4.55,85.39,63.65,95.99
11.83,6.74,53.11,85.7,99.19
2.28,6.27,57.37,46.59,58.48
4.68,8.22,50.39,80.42,76.59
3.73,4.49,81.55,69.23,83.07
11.16,6.44,72.38,55.84,86.38
0.5,4.75,56.71,67.11,55.79
8.55,5.62,97.9,56.5,77.68
11.44,7.69,76.48,72.78,95.85
13.15,6.38,62.09,63.86,89.41
5.13,5.88,75.03,49.04,71.71
12.32,5.97,83.98,46.41,88.68
1.66,6.3,53.81,70.07,56.99
12.7,7.93,63.74,89.63,106.06
1.91,8.46,90.35,58.92,74.85
5.96,8.78,72.98,80.32,95.13
11.96,7.93,77.33,76.23,105.17
2.25,5.58,71.64,91.24,83.24
3.44,7.44,52.19,85.15,76.06
10.83,6.19,58.29,71.16,89.51
10.8,5.27,72.28,76.14,99.33
9.62,8.2,60.46,89.41,90.07
10.41,4.19,52.5,61.97,76.04
8.14,8.51,92.18,57.97,83.34
3.78,6.31,99.06,40.59,68.93
5.19,7.19,89.66,85.46,97.38
2.72,7.3,92.69,84.05,82.41
13.63,8.48,62.1,45.74,73.8
8.75,7.18,98.03,71.73,93.7
6.01,7.07,59.85,65.52,78.79
6.93,4.33,97.57,46.53,77.75
14.21,6.59,99.74,93.93,122.46
2.3,4.75,85.59,51.81,61.63
8.79,7.69,99.06,43.7,76.38
7.59,6.56,78.48,72.72,89.33
9.17,7.4,62.98,80.64,86.85
0.27,4.21,71.85,41.78,59.09
13.08,4.42,79.68,76.23,102.88
13.98,7.58,53.65,69.28,91.88
8.48,4.36,81.12,45.68,70.55
10.45,4.36,99.06,49.49,85.36
13.84,4.06,59.51,71.24,91.75
10.61,8.78,89.63,56.3,97.68
2.29,7.69,95.39,91.61,90.31
8.64,5.77,97.19,85.03,96.54
9.1,5.48,98.01,94.1,115.23
6.36,5.75,76.07,54.28,73.01
11.05,7.87,98.87,93.33,117.24
14.02,7.31,87.87,63.72,99.0
13.88,4.93,58.08,59.11,89.41
6.76,4.87,73.85,42.77,67.84
1.7,4.49,85.92,42.9,47.42
14.77,7.3,62.37,78.06,113.5
12.58,7.82,82.03,65.19,104.49
1.87,5.33,83.33,52.46,60.31
13.81,4.1,58.13,73.77,88.26
13.05,4.41,78.25,53.91,90.08
7.78,8.84,88.58,71.77,92.95
8.87,5.48,74.94,59.76,82.89
5.99,7.85,50.61,85.3,83.19
0.82,7.12,50.45,85.14,70.83
5.03,5.91,67.85,66.25,80.38
12.04,5.03,96.31,59.3,97.52
0.07,4.61,61.43,59.94,48.86
5.0,7.08,81.72,84.31,94.48
5.97,7.87,61.1,58.05,79.93
8.06,7.22,66.08,51.5,90.15
13.8,6.65,92.4,44.66,86.91
5.2,4.21,86.44,65.67,78.03
5.2,8.84,54.77,66.52,62.89
11.06,7.99,71.44,86.25,104.56
6.78,5.46,51.46,52.17,62.28
3.37,8.9,74.04,60.95,81.41
6.79,7.01,83.12,84.46,88.68
2.11,6.91,55.93,85.3,64.55
2.65,7.74,64.44,61.15,63.46
7.48,8.06,69.89,65.25,72.09
6.28,7.28,95.98,56.68,85.33
13.72,4.64,99.66,91.29,105.09
5.44,5.69,52.25,46.53,59.51
8.71,8.64,88.05,91.36,93.85
9.48,5.12,68.59,77.61,87.62
0.2,5.86,69.62,69.24,71.25
9.95,6.16,87.71,41.8,81.28
2.67,6.2,95.92,66.16,71.65
14.42,7.06,97.55,62.43,104.85
2.23,8.72,78.86,48.87,64.22
6.22,5.2,67.86,76.1,82.56
1.28,4.61,89.38,93.41,75.42
14.95,4.99,62.55,70.92,100.55
7.53,8.43,78.2,79.31,78.53
8.93,7.23,67.93,43.76,70.11
1.01,5.43,82.83,62.97,62.93
11.25,8.08,62.02,46.4,82.79
3.15,8.31,59.58,73.7,72.68
13.47,8.23,95.91,91.62,111.11
3.08,8.59,55.09,76.4,67.81
2.86,5.26,75.3,44.22,59.16
0.55,7.78,61.04,59.51,58.38
7.08,6.3,51.95,70.29,73.09
8.47,8.21,51.8,62.18,75.25
0.99,7.64,58.76,85.85,75.68
11.63,7.88,93.34,84.81,106.35
6.8,7.28,64.12,73.65,81.36
7.87,4.89,97.52,60.54,95.92
6.61,6.73,79.08,54.04,68.23
6.01,8.92,71.83,45.82,60.93
8.39,8.69,79.0,59.52,88.78
2.33,4.22,75.83,62.72,61.6
2.73,4.82,87.94,77.17,75.98
12.93,4.66,64.12,76.2,91.35
14.19,7.63,67.65,43.86,85.56
5.6,8.09,94.7,61.74,90.98
4.06,5.07,97.32,50.0,74.44
9.66,6.53,94.63,48.62,89.0
6.13,8.2,70.97,85.5,82.12
0.38,7.66,89.02,42.31,52.25
2.34,6.71,73.82,63.06,53.38
10.74,6.95,74.88,49.25,78.23
9.88,6.54,60.23,88.36,99.58
0.41,5.49,79.56,70.64,69.39
3.33,6.83,59.31,52.73,59.57
3.47,7.44,66.58,67.63,71.28
10.08,8.37,92.75,80.23,99.74
0.3,7.18,60.35,92.7,74.84
1.56,7.81,53.56,52.12,59.23
12.0,4.8,53.45,88.74,88.09
2.68,6.31,97.04,91.39,90.58
9.79,4.05,75.35,90.4,101.8
3.57,5.23,70.47,74.95,71.74
1.49,7.63,90.54,74.64,80.87
3.65,8.96,91.79,62.18,92.58
10.83,4.5,66.61,81.38,92.63
12.84,6.01,84.68,69.22,101.29
12.45,8.0,88.56,77.26,102.23
5.96,5.02,82.73,63.57,78.43
10.02,6.78,57.58,80.23,92.88
3.07,7.67,93.79,85.35,88.67
4.4,7.08,76.95,48.05,61.51
13.45,4.94,64.12,85.81,102.73
0.2,5.78,71.26,69.72,70.98
1.28,7.92,51.88,86.46,73.74
3.12,6.77,56.39,63.72,69.51
0.4,4.03,88.28,60.85,61.56
2.72,7.8,50.0,90.33,80.07
8.75,4.18,70.83,53.81,76.44
6.32,7.73,76.13,86.43,86.38
13.39,5.01,52.73,66.62,90.21
12.26,8.79,98.65,68.28,99.97
5.13,5.84,61.31,56.97,63.55
3.89,5.63,65.21,71.52,72.75
5.7,4.74,65.2,57.89,69.93
8.85,5.53,61.52,42.16,62.35
4.02,8.38,50.07,54.96,67.88
9.36,8.98,86.47,40.35,83.15
6.14,5.84,98.34,93.81,95.24
8.28,6.24,61.21,93.12,85.42
6.54,7.61,83.15,61.73,80.57
4.42,8.43,87.09,80.06,85.09
14.23,6.97,92.42,59.02,101.74
11.45,5.96,71.13,76.91,93.76
2.1,6.06,65.15,84.3,64.18
13.03,7.48,66.26,92.07,105.52
7.31,4.02,85.63,62.01,78.26
13.42,7.1,90.84,83.08,114.03
12.0,5.78,59.08,54.63,78.48
6.38,7.97,68.55,94.47,101.71
0.34,4.46,95.1,41.42,45.88
4.03,6.94,90.33,73.19,88.65
8.12,6.4,99.24,76.27,94.77
9.5,7.21,87.71,77.84,101.93
3.87,4.32,69.66,46.62,59.47
2.09,6.9,79.53,91.62,88.87
12.52,6.81,83.05,49.97,87.44
14.77,6.8,53.92,74.25,92.89
7.89,7.02,77.22,52.25,84.54
2.58,7.38,85.47,56.9,68.83
4.08,8.02,58.37,70.06,73.47
0.28,5.35,89.03,62.95,71.48
13.71,8.13,79.19,48.81,87.03
1.77,6.49,97.61,49.4,69.17
8.65,4.39,52.12,63.0,71.08
4.11,4.29,63.27,81.65,74.57
8.31,5.67,80.08,89.39,96.66
9.77,7.92,64.83,44.63,68.19
12.45,7.54,85.72,61.62,92.8
3.1,7.94,87.95,45.51,73.17
0.16,6.59,55.13,40.91,49.73
2.05,6.2,75.69,76.39,73.15
13.5,4.74,75.44,73.13,99.85
13.11,5.64,68.46,48.97,83.09
8.96,6.17,96.65,52.86,92.01
9.01,4.44,91.38,41.3,74.92
9.98,5.1,84.86,85.92,100.65
2.63,6.99,85.72,93.61,93.21
13.72,7.68,73.09,47.45,85.28
6.28,8.99,96.05,52.73,89.46
5.75,8.67,84.73,87.76,86.43
7.78,7.21,86.45,90.96,107.67
0.7,6.11,93.08,63.08,66.68
2.49,7.18,63.7,42.78,54.13
11.07,7.93,90.35,42.17,75.93
1.24,4.59,59.76,71.57,60.05
9.05,6.05,67.27,61.61,75.67
3.68,8.2,66.78,41.58,56.83
5.84,5.92,98.93,72.08,86.74
4.33,6.86,92.83,40.62,72.0
5.34,6.94,85.06,83.31,89.89
10.79,4.92,86.35,56.85,88.75
4.46,5.81,78.1,42.21,57.18
8.5,5.67,97.35,72.36,89.04
7.14,4.13,74.81,61.87,85.18
9.96,4.12,69.03,93.56,93.66
14.05,8.16,58.15,69.93,105.61
10.99,5.37,89.31,55.14,87.07
3.22,6.59,86.72,79.02,81.5
0.47,5.49,69.22,54.93,61.35
3.93,8.7,51.26,89.73,86.87
8.93,5.3,91.95,60.61,86.02
0.77,6.15,50.57,70.24,57.65
7.45,8.36,85.18,42.78,75.32
8.95,8.21,98.51,63.44,95.19
5.01,4.93,71.88,85.78,87.35
11.56,8.01,61.75,84.31,99.21
1.6,6.29,85.24,52.34,66.38
1.13,6.41,90.86,52.43,72.18
10.92,4.67,77.32,84.95,100.48
7.43,4.4,98.35,91.17,100.5
10.33,7.64,52.58,45.24,65.79
6.52,6.48,75.24,64.75,65.87
3.7,6.18,85.92,58.56,73.66
12.29,7.65,93.13,87.89,111.31
11.99,7.83,58.96,44.59,76.78
10.42,4.79,90.0,51.61,85.82
4.08,7.05,77.64,81.39,82.34
8.85,4.68,69.83,42.82,75.74
5.41,7.76,56.59,67.09,73.79
1.37,7.28,93.26,64.32,68.56
13.76,8.78,57.86,58.39,96.44
2.05,4.34,65.49,61.7,59.74
14.25,4.29,64.5,69.15,97.33
6.69,5.41,93.57,48.88,73.34
